ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,284.11,128,17.52,52184460
4096,2048,234.42,128,15.53,80373132
6144,2048,226.91,128,15.09,108561804
8192,2048,220.39,128,14.88,136750476
10240,2048,213.53,128,14.55,164939148
12288,2048,207.61,128,14.34,193127820
14336,2048,202.97,128,14.08,221316492
16384,2048,199.10,128,13.86,249505164
18432,2048,189.34,128,13.48,277693836
20480,2048,179.21,128,13.01,305882508
22528,2048,176.10,128,13.10,334071180
24576,2048,176.60,128,13.56,362259852
26624,2048,176.51,128,13.92,390448524
28672,2048,166.99,128,13.78,418637196
30720,2048,163.23,128,13.42,446825868
32768,2048,157.99,128,12.85,475014540
34816,2048,150.31,128,12.52,503203212
36864,2048,148.98,128,12.39,531391884
38912,2048,146.60,128,12.19,559580556
40960,2048,144.12,128,12.15,587769228
43008,2048,140.00,128,11.99,615957900
45056,2048,137.70,128,11.84,644146572
47104,2048,135.82,128,11.80,672335244
49152,2048,133.77,128,11.70,700523916
51200,2048,131.69,128,11.52,728712588
53248,2048,129.23,128,10.93,756901260
55296,2048,124.66,128,11.34,785089932
57344,2048,127.87,128,11.61,813278604
59392,2048,127.67,128,11.50,841467276
61440,2048,125.54,128,0.55,869655948
